991011  4+ 3+ 5- 4-  3+ 5- 3+ 5o   32+     29 1.3
991012  5o 5o 4- 5o  5+ 5+ 5+ 4+   39o D2  46 1.5
991013  5- 3o 4o 3-  4- 4o 4o 3+   29+     23 1.1
991014  3+ 4+ 4- 4-  5- 5o 4+ 4+   33+ D5  31 1.3
991015  5o 5o 4+ 4o  4- 5- 3+ 3-   33-     31 1.3
991016  4o 5- 3+ 4-  4- 5- 4- 3o   31-     26 1.2
991017  4o 4- 5- 4-  4+ 3- 1+ 2o   26+     21 1.1
991018  1o 1+ 0+ 2-  2+ 2- 2+ 2o   13- Q6   6 0.3
991019  3o 2o 3- 1o  0+ 0o 0+ 0+   10- Q4K  6 0.2
991020  1- 1o 0+ 1o  1o 1- 1- 1-    6o Q1   3 0.1
991021  3+ 5o 2o 2o  2- 3o 3+ 5-   25o     20 1.0
991022  7o 8- 8o 5+  5- 4+ 6- 3+   46o D1  91 1.9
991023  4o 5- 3+ 3-  5+ 5o 4+ 4o   33+ D4  32 1.3
991024  5- 4o 4+ 4-  4o 3o 3+ 4+   31+     26 1.2
991025  4- 3+ 3o 3+  4- 3+ 2+ 1-   23+     16 0.9
991026  1- 2+ 2o 3-  2+ 3- 3- 3-   18o     10 0.5
991027  3- 4o 3- 3+  3o 5- 3o 3-   26o     19 1.0
991028  2+ 2- 3- 2-  4+ 4o 5+ 3+   25+     21 1.1
991029  3- 2o 2o 2+  2o 1o 3- 3-   17+      9 0.5
991030  1o 1o 2- 2o  2+ 2o 1o 2-   13- Q5   6 0.3
991031  2o 2o 2o 4-  2o 2o 2- 3o   18+     10 0.5
991101  3- 2+ 2o 4-  2+ 2- 2+ 1+   18+     10 0.6
991102  3- 2o 2o 2o  1o 1o 1+ 2o   14o Q8A  7 0.3
991103  3o 0+ 0+ 1+  1o 0+ 2- 2o   10o Q7K  5 0.2
991104  2o 2+ 1o 1-  1o 1- 1- 1+   10- Q5   5 0.2
991105  1+ 1- 0+ 0+  0+ 1- 2o 3o    9- Q6K  5 0.2
991106  3o 1+ 2- 2o  2- 2+ 4- 2-   17+     10 0.5
991107  3+ 4+ 5- 4+  5o 5o 3- 3+   33- D2  31 1.3
